node_id,mesh_term
"mesh_4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid","4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid"
"mesh_Receptor, PAR-1","Receptor, PAR-1"
mesh_Rickettsia Infections,Rickettsia Infections
mesh_Pesticides,Pesticides
mesh_Dipeptidyl-Peptidase IV Inhibitors,Dipeptidyl-Peptidase IV Inhibitors
mesh_Nucleic Acid Denaturation,Nucleic Acid Denaturation
mesh_Dental Bonding,Dental Bonding
mesh_Connective Tissue Growth Factor,Connective Tissue Growth Factor
mesh_Dietary Proteins,Dietary Proteins
mesh_Interleukin-6,Interleukin-6
mesh_Poverty Areas,Poverty Areas
mesh_Tranexamic Acid,Tranexamic Acid
mesh_Staphylococcus aureus,Staphylococcus aureus
mesh_Aging,Aging
mesh_Rhabdoid Tumor,Rhabdoid Tumor
mesh_Hypothalamo-Hypophyseal System,Hypothalamo-Hypophyseal System
mesh_Thyroid Hormones,Thyroid Hormones
mesh_Cellulose,Cellulose
mesh_Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma
"mesh_Adenoviruses, Human","Adenoviruses, Human"
"mesh_Aldehyde Dehydrogenase, Mitochondrial","Aldehyde Dehydrogenase, Mitochondrial"
"mesh_Nuclear Magnetic Resonance, Biomolecular","Nuclear Magnetic Resonance, Biomolecular"
"mesh_Ultrasonography, Prenatal","Ultrasonography, Prenatal"
mesh_APOBEC-1 Deaminase,APOBEC-1 Deaminase
mesh_Iodine,Iodine
mesh_Proteolysis,Proteolysis
mesh_BRCA2 Protein,BRCA2 Protein
mesh_Energy-Generating Resources,Energy-Generating Resources
mesh_Sustainable Development,Sustainable Development
mesh_Cancellous Bone,Cancellous Bone
mesh_Oligonucleotides,Oligonucleotides
mesh_Euryarchaeota,Euryarchaeota
mesh_Cytokinins,Cytokinins
mesh_Sepharose,Sepharose
mesh_Copper,Copper
mesh_Transaminases,Transaminases
mesh_Hysteroscopy,Hysteroscopy
mesh_Zearalenone,Zearalenone
mesh_Lipid Droplets,Lipid Droplets
mesh_Disorders of Sex Development,Disorders of Sex Development
mesh_NFI Transcription Factors,NFI Transcription Factors
mesh_Alcaligenes,Alcaligenes
mesh_Laparoscopy,Laparoscopy
