node_id,author_name
author_Zhumaly Kauyzbay,Zhumaly Kauyzbay
author_Christopher Swale,Christopher Swale
author_Migena Zeqo,Migena Zeqo
author_Adam Hampshire,Adam Hampshire
author_Yongming Li,Yongming Li
author_Nattapon Ngarmjiratam,Nattapon Ngarmjiratam
author_Zhijuan Kang,Zhijuan Kang
author_Haiyan Wang,Haiyan Wang
author_Usama Bin Ghaffar,Usama Bin Ghaffar
author_Xiaoyong Su,Xiaoyong Su
author_Peiqin Chen,Peiqin Chen
author_Filippo Gustavo Dall'Olio,Filippo Gustavo Dall'Olio
author_Uri Alon,Uri Alon
author_Hiroshi Wakao,Hiroshi Wakao
author_Jie Sun,Jie Sun
author_Sana Zia,Sana Zia
author_E Esposito,E Esposito
author_John W Hickey,John W Hickey
author_Jonathan P Little,Jonathan P Little
author_J Todd Frazier,J Todd Frazier
author_Liwen Zhang,Liwen Zhang
author_Rui Wu,Rui Wu
author_Alex Straumann,Alex Straumann
author_Mary Salama,Mary Salama
author_Jianrong Liu,Jianrong Liu
author_Gang Jia,Gang Jia
author_Raymond Wu,Raymond Wu
author_Sanjay B Patil,Sanjay B Patil
author_Rou Feng,Rou Feng
author_Muhammad Hassan Mushtaq,Muhammad Hassan Mushtaq
author_Varun Rastogi,Varun Rastogi
author_Mukti Singh,Mukti Singh
author_Supriya Kheur,Supriya Kheur
author_Prasun Chakrabarti,Prasun Chakrabarti
author_Samwel Maina Githigia,Samwel Maina Githigia
author_Babatunde Oluwaseun Ibitoye,Babatunde Oluwaseun Ibitoye
author_Muhammad Qamar Saeed,Muhammad Qamar Saeed
author_Aho Ilgun,Aho Ilgun
author_Paolo Bollella,Paolo Bollella
author_Maria Peris-Celda,Maria Peris-Celda
author_Mohammed N I Shehata,Mohammed N I Shehata
author_S Poomagal,S Poomagal
author_Naokata Sumitomo,Naokata Sumitomo
author_Muhammad B Majeed,Muhammad B Majeed
author_Jian-Zhong Ma,Jian-Zhong Ma
author_Jane E Visvader,Jane E Visvader
author_Weiqian Chen,Weiqian Chen
author_Fares A Alkhayal,Fares A Alkhayal
author_Mahdi Mohammadian,Mahdi Mohammadian
author_Bingjing Gao,Bingjing Gao
author_Jian-Jin Liu,Jian-Jin Liu
author_Xiuzhen Wang,Xiuzhen Wang
author_Rohanah Hussain,Rohanah Hussain
author_Jing-Ran Shan,Jing-Ran Shan
author_F Fortuna,F Fortuna
author_Silvia Olivera-Bravo,Silvia Olivera-Bravo
author_Yanling Li,Yanling Li
author_Haruhiko Akiyama,Haruhiko Akiyama
author_Fumei Yang,Fumei Yang
author_Yan-Ling Wang,Yan-Ling Wang
author_Bin Fu,Bin Fu
author_Osamu Ichii,Osamu Ichii
author_Alla I Kalmykova,Alla I Kalmykova
author_Shobhan Babu Varthya,Shobhan Babu Varthya
author_Jinkun Zeng,Jinkun Zeng
author_Brian Van Ness,Brian Van Ness
author_Silviu-Alin Bacanu,Silviu-Alin Bacanu
author_Dong-Yu Liang,Dong-Yu Liang
author_Serena Nik-Zainal,Serena Nik-Zainal
author_Iluminada Corripio,Iluminada Corripio
author_Mariam Funmi Babajide,Mariam Funmi Babajide
author_Wenxun Liu,Wenxun Liu
author_Shuhua Xu,Shuhua Xu
author_Shuhui Zheng,Shuhui Zheng
author_Felicia Iselin Svensson Kristiansen,Felicia Iselin Svensson Kristiansen
author_Bing Yu,Bing Yu
author_Seishu Hashimoto,Seishu Hashimoto
author_Patrick B F O'Connor,Patrick B F O'Connor
author_Yingjun Li,Yingjun Li
author_Jean-Paul Casalta,Jean-Paul Casalta
author_Beata Jasiewicz,Beata Jasiewicz
author_Marco González-Domínguez,Marco González-Domínguez
author_Mohamed A O Abdelfattah,Mohamed A O Abdelfattah
author_Enas A Farrag,Enas A Farrag
author_Ruihuan Zhao,Ruihuan Zhao
author_Koen Van de Vijver,Koen Van de Vijver
author_Jian Gu,Jian Gu
author_Robert Selvam,Robert Selvam
author_Yusuf Beebeejaun,Yusuf Beebeejaun
author_Keizo Taniguchi,Keizo Taniguchi
author_Iskandar Abdullah,Iskandar Abdullah
author_Shicheng Guo,Shicheng Guo
author_Liu Chao,Liu Chao
author_Michela Pirredda,Michela Pirredda
author_Martina Hrivňáková,Martina Hrivňáková
author_Dipak Kumar Sahoo,Dipak Kumar Sahoo
author_Dibakar Sahoo,Dibakar Sahoo
author_Yu Yan,Yu Yan
author_Zhongxin Sha,Zhongxin Sha
author_Ida Genta,Ida Genta
author_P M Maslyukov,P M Maslyukov
author_Karine Frehner Kavalco,Karine Frehner Kavalco
author_Yan Xu,Yan Xu
author_Michael Andreeff,Michael Andreeff
author_Nan Zhou,Nan Zhou
author_Haidawati Mohamad Nasir,Haidawati Mohamad Nasir
author_Seyda Demirkol,Seyda Demirkol
author_Denisse Manrique-Millones,Denisse Manrique-Millones
author_Shan Shao,Shan Shao
author_Ghazali Ahmad,Ghazali Ahmad
author_Maryam Nasr Esfahani,Maryam Nasr Esfahani
author_Magdalena Dziedzic,Magdalena Dziedzic
author_Andrew A S Soltan,Andrew A S Soltan
author_Charlyne Gard,Charlyne Gard
author_J Z Liu,J Z Liu
author_Toren Finkel,Toren Finkel
author_Amal M Elshahat,Amal M Elshahat
author_Johan Aparicio,Johan Aparicio
author_Bibi Fatemeh Haghiralsadat,Bibi Fatemeh Haghiralsadat
author_Edward Cy Lee,Edward Cy Lee
author_Dan Xu,Dan Xu
author_Olga V Shamova,Olga V Shamova
author_Shaimaa Soliman,Shaimaa Soliman
author_Charlie Ervin,Charlie Ervin
author_Richard B Miller,Richard B Miller
author_Michael Schumann,Michael Schumann
author_Yongfu Xu,Yongfu Xu
author_Rhys Williamson,Rhys Williamson
author_Francesca Tonelli,Francesca Tonelli
author_Di Xie,Di Xie
author_Sophie Hébrard,Sophie Hébrard
author_Lianfu Zhang,Lianfu Zhang
author_Prosenjit Saha,Prosenjit Saha
author_Ronald Österbacka,Ronald Österbacka
author_Dhaval N Mehta,Dhaval N Mehta
author_Lingfang Jiang,Lingfang Jiang
author_Silas Lagat,Silas Lagat
author_Maria M Magiera,Maria M Magiera
author_Peter D Croughs,Peter D Croughs
author_Sheng Cai,Sheng Cai
author_Ekaterina M Sukhova,Ekaterina M Sukhova
author_Samer Salah,Samer Salah
author_Kae Imanishi,Kae Imanishi
author_Hao Hua,Hao Hua
author_Juanling Weng,Juanling Weng
author_Blanca Estela Hernandez-Chena,Blanca Estela Hernandez-Chena
author_Yongjun Zhu,Yongjun Zhu
author_Seishi Ogawa,Seishi Ogawa
author_Graeme L Lazarus,Graeme L Lazarus
author_Karina Ibanez,Karina Ibanez
author_Feng Ping,Feng Ping
author_Na Zhao,Na Zhao
author_Richard J Youle,Richard J Youle
author_Francesca M Gaiani,Francesca M Gaiani
author_Vinod Kumar,Vinod Kumar
author_Thor Ueland,Thor Ueland
author_Nada El Darra,Nada El Darra
author_Hai Chen,Hai Chen
author_Selvie Yeo,Selvie Yeo
author_Hazel B Gwarinda,Hazel B Gwarinda
author_Hao-Chieh Chang,Hao-Chieh Chang
author_Theodosia Kazazoglou,Theodosia Kazazoglou
author_Andrea Schrott,Andrea Schrott
author_Yanbo Zeng,Yanbo Zeng
author_Ranjith Balu,Ranjith Balu
